npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  9/1/2026 6:12:42 PM ::1 GET /
 HTTP  9/1/2026 6:12:42 PM ::1 Returned 200 in 257 ms
 HTTP  9/1/2026 6:13:59 PM ::1 GET /
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 20 ms
 HTTP  9/1/2026 6:13:59 PM ::1 GET /styles.css
 HTTP  9/1/2026 6:13:59 PM ::1 GET /src/ui.js
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 5 ms
 HTTP  9/1/2026 6:13:59 PM ::1 GET /Assets/Extra/Logo.jpg
 HTTP  9/1/2026 6:13:59 PM ::1 GET /Assets/Pokemon%20Sprites/1.png
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 16 ms
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 14 ms
 HTTP  9/1/2026 6:13:59 PM ::1 GET /Assets/Pokemon%20Sprites/4.png
 HTTP  9/1/2026 6:13:59 PM ::1 GET /Assets/Pokemon%20Sprites/7.png
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 9 ms
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 6 ms
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 80 ms
 HTTP  9/1/2026 6:13:59 PM ::1 GET /src/mathEngine.js
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 3 ms
 HTTP  9/1/2026 6:13:59 PM ::1 GET /src/battleSystem.js
 HTTP  9/1/2026 6:13:59 PM ::1 GET /src/dayCare.js
 HTTP  9/1/2026 6:13:59 PM ::1 GET /src/storage.js
 HTTP  9/1/2026 6:13:59 PM ::1 GET /src/state.js
 HTTP  9/1/2026 6:13:59 PM ::1 GET /src/ui/topbar.js
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 7 ms
 HTTP  9/1/2026 6:13:59 PM ::1 GET /src/ui/sidebar.js
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 8 ms
 HTTP  9/1/2026 6:13:59 PM ::1 Returned 200 in 8 ms
