npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  9/19/2026 3:55:43 AM ::1 GET /
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 434 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /styles.css
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/ui.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconMap.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/ExclamationMark.png
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 8 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 10 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 10 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 14 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconBackpack.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconPokedex.png
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 5 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 7 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconTrainer.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconTeam.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconMainView.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/BonusCandy.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconGift.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconCalendar.png
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 16 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 14 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 17 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/ProgressChallange.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconSleep.png
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 29 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconHelp.png
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 11 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 37 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 11 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconSettings.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Extra/IconExit.png
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 24 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 11 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 18 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 83 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Pokemon%20Sprites/1.png
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Pokemon%20Sprites/4.png
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /Assets/Pokemon%20Sprites/7.png
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/windowManager.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/clickThrough.js
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 6 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/ui/topbar.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/mathEngine.js
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 7 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/battleSystem.js
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 7 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 7 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 10 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/dayCare.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/storage.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/state.js
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 2 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 2 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 3 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/ui/sidebar.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/ui/battle.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/ui/calendar.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/ui/gift.js
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/ui/map.js
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 6 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 5 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 4 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 5 ms
 HTTP  9/19/2026 3:55:43 AM ::1 Returned 200 in 6 ms
 HTTP  9/19/2026 3:55:43 AM ::1 GET /src/ui/pokedex.js
